,Assessments_Primary_Problem,Report_1_Narrative,Report_2_Narrative
1272567,manuals,It came to our attention while looking at our LIDO charts prior to departure that the takeoff minimums in MDW are different between the Jeppesen and LIDO charts.  The takeoff minimums for 31C in MDW for Jeppesen are TDZ 1000 Rollout 1000. LIDO shows takeoff minimums for 31C as 600R. The AFC chart does not indicate any CL for any runways and the Jeppesen chart indicates CL for runway 4R/22L. Also; the MDWAY1 Departure text on LIDO does not mention the 'maintain 250kts to advised'; it is only on the pictorial of the departure. This is unlike any other departure in LIDO where the text indicates all the restrictions.,
1274742,manuals,Descending via the HHOOD3 into PDX; Seattle Center asked us what our airspeed was.  We told them 300 KTS. They asked us to slow to 270 and we complied.  A few minutes later they asked us to slow to 250 and we complied.We then heard them ask another flight if they saw any kind of speed restriction on the HHOOD3 about 280 knots.  They said they didn't see it.  We also re-examined the arrival on our iPad and didn't see it either.  We told ATC that we also didn't see it.  They then wondered if it wasn't yet published on our revisions. ATC further stated that we were the second company flight that day that didn't know about the 280 knot restriction.  ATC then handed us off to PDX approach. We decided to look again and finally saw the note on the right side of the page.  We had been looking in the wrong place (top and bottom).  It said; 'turbojet aircraft descend via Mach number until intercepting 280 KTS; maintain 280 KTS until slowed by the STAR.'  By that time it was too late to call Seattle Center and apologize. Landed without incident; but Captain Young called on the ground to track down Seattle Center's phone number so that we could apologize for our oversight.,
1288291,manuals,I was flying on a pleasure flight when the propeller bolts failed and the propeller departed the aircraft. I landed on a private road with no damage to anything on the ground and no further damage to the airplane.,
1293897,manuals,Tower called for release for Aircraft X. I had traffic inbound from the north and southeast at the time. Convective weather was also an issue at the time.I had the original strip in my bay when they called for release. I released to 11;000 feet. The Tower controller came back and then said 'amendment one direct [fix].' I was surprised and saw that indeed the flight plan had been amended. Said unable for traffic and reiterated [SID] and 11;000 feet. I also gave a 2 minute time restriction to ensure the aircraft did not interfere with inbounds.He called back a little later saying that the aircraft was delayed and verified the release was still ok; which it was.Oddly; Tower's action to remove the SID is what caused the departure delay. Also; 11;000 feet initial altitude direct [fix] is below our Minimum IFR Altitude (MIA) and dangerously close to terrain; certainly an illegal release.Tower once again violated FAAH 7110.65 paragraph 2-2-11.c by not calling with amendment info verbally within 15 minutes of proposed departure-Time.Attached is NASQuest data proving when Tower amended the flight plan (XA:45:42). Original Proposed-Time was XA:30. The amendment back to the [SID] was my entry at XA:48:54 so the flight plan once again reflected the actual clearance; with the aircraft departure message coming a minute later.Somewhat related; our supervisor at the time was quite explicitly not delivering strips to the area. Controllers were instructed by him to 'get the strips then hit the list;' meaning the hoppers would only realistically be cleared every 5-10 minutes anyway at most frequent; given our staffing. I don't believe that more continual strip posting would have fully mitigated the situation here; but it is an ancillary issue that has crept up in our [Sector Area]. We have discussed this as a local safety council and are moving on it already. Just want it included in the report for the record.Sometimes I contemplate taking their FDIO [Flight Data Printer] away from them... but that's not good.I think Tower should call when removing any SID originally filed by a pilot; even if the pilot is the one requesting the change. Tower should certainly not be modifying flight plans without either a pilot request or ARTCC approval.Otherwise; not sure what to actually change. The FAAH 7110.65 is pretty clear on how to handle amendments.,
1295168,manuals,Airspeed of 270 knots was assigned at 13;000 feet (limit is 278 for CJ-3) and aircraft behind was slowed to 260 knots as we descended to the Airport. Descent was continued. As assigned; to 6;000 feet and I noticed speed still above 250 knots as we went below 10;000 feet. Pilot flying reduced speed at my request; but unclear if clearance intended for us to stay at 270 knots to 6;000 feet. Please clarify if 250 knots is a maximum under 10;000 feet except only in an emergency; or if an assigned speed is valid. We continued to be 'pushed' to keep speed high during final approach! No comments by ATC as we did not ask (confess?). No conflicts; no safety concerns; just seeking clarity.,
1297618,manuals,New Letter of Agreement (LOA) between TRACON and ARTCC went into effect. LOA briefings were conducted for a simplified LOA that allowed for greater control on arrival and departure aircraft to minimize coordination between TRACON and ARTCC. However; a previous segment of the LOA; one giving TRACON control for descents outside the lateral boundaries of the airspace to 10;000 feet on a STAR was inadvertently dropped from the new LOA. While the intent was not to remove that section; it was. We didn't get briefed on the missing section and have been operating under the previous provision that gave us control for descents to 10;000 feet. This has likely resulted in many dozens of airspace Operational Deviations.We just now are getting pre-position face to face briefings to suspend this practice until a new; amended LOA containing the dropped provision is signed and put into effect.Develop a facility 'area team' to have a team of controllers and supervisors meet; at the same time; to review all LOA/SOP changes to minimize the risk of overlooked items of this nature. I would recommend a Front Line Manager/Controller/Staff person team be implemented and given official time to all meet in committee to review proposed changes.,
1303370,manuals,The Tower Operations Manager informed me today that I did not have a certification in the tower since the end of a few months ago due to currency requirements. This was the first knowledge I had of this occurrence. A recertification was accomplished today. I have worked all positions and performed Supervisor duties [for over two months].Communicate information sooner.,
1307476,manuals,I am writing to express concern about the new SOP policy in which the 1;000 feet call on approaches with and without vertical guidance regarding the 1;000 feet call. It now occurs at 1;000 feet above Touchdown Zone Elevation (TDZE) rather than above minimums. Making the call 1;000 feet above minimums creates a better rhythm to the approach; create a higher level of situational awareness and reduces distraction inside the FAF. Furthermore it is a standard that can be relied upon irrespective of the minimums' Height Above Threshold (HAT) which may vary greatly especially in mountainous terrain. Over the past couple days I have seen three scenarios where the current 1;000 feet above TDZE would be ill-timed; a distraction; or would not occur at all. All of my examples occurred during VMC.I have had multiple conversations with crews about this topic; and feel it bears a safety report. During the recent change in call-outs; we changed the '1;000 feet above minimums' to a '1;000' referencing TZDE. I feel this is a mistake; and decreases situation awareness and the operation's overall level of safety. During several approaches in IMC; I have had more than one crew member tell me he is foregoing the new callouts to use the old ones. That such a mentality exists speaks to the poor level of training; communication from our 'training department' and some of the call-outs themselves. During our first flight; we were in VMC; but made me think about the operation should we have been in IMC. The LDA DME Runway 25 (with GS) into KEGE has a DA of 8;331 feet or 1;790 feet DH. The 1;000 feet call would not be made prior to minimums in this scenario. It seems that the 1;000 feet call is an attempt at a reminder for meeting stabilized approach criteria. It seems an instrument approach in mountainous terrain is exactly the case where stabilized approach awareness is paramount. Furthermore; during an approach into KCOD on we began the GPS 22 KCOD. It has a straight in landing MDA of 5;620 feet or 544 feet AGL; almost 600 feet. So in that case we're not highlighting the stabilized approach criteria until inside 500 feet above MDA. Again; night; mountainous terrain; where stabilization and situational awareness are paramount. Another example came up during an approach into SBA; VMC again. On the VOR or GPS 22; the straight in landing minimums (MDA) are 920 feet MSL with a TDZE of 13 feet. That means the 1;000 feet call occurs at the 100 feet above minimums call; at the very bottom of the approach. I don't see how that's a good idea. And how does that highlight stabilized approach criteria? Had we kept the 1;000 feet call above minimums; it would occur just inside the FAF. This is also an approach with non-standard minimums in mountainous terrain.This is a topic that has garnered significant thought. It seems there are several overall genres in aviation that have significantly increased the level of flight safety as a whole.1) Adherence to standardization so when unique scenarios arise; those habits and rhythms serve as a protocol for operation2) Adherence to stabilized approach criteria; and3) Removal of non-critical items/callouts in critical phases of flight. With reference to those three topics from the aforementioned scenarios; our current policy degrades those philosophies effectiveness markedly.1) Every approach now has a different callout for 1;000 feet with respect to minimums; breaking the rhythm and timing of past experience; and in some cases the 1;000 feet call would never occur at all.2) It's somewhat ironic that the 1;000 feet call (highlighting a minimums for meeting the stabilized approach criteria) occurs at a different point with respect to the FAF and MAP on every approach that doesn't have 200 foot or 400 foot minimums.3) We have now added a callout that now often occurs inside the FAF when focus inside the FAF is flying the plane and anticipating minimums. That callout is not referencing minimums; but another piece of data located elsewhere on the chart. Furthermore all of these degradations in safety more regularly occur at airports with higher than standard minimums which usually occur in mountainous terrain and in uncontrolled; non-radar environments; precisely where standardization and stability are most important.Suggest changing the 1;000 feet call to reference the approach minimums rather than TDZE.,
1307886,manuals,This aircraft was NOT Controller Pilot Data Link Communications (CPDLC) equipped. However; this report is submitted to draw attention to the confusion and significant task loading that CPDLC adds to preflight duties. As a Check Airman and 21 year Captain; I spent at least 25 minutes in the hotel room reading the FOM Bulletin on CPDLC. I still found it somewhat confusing because of the length of the bulletin. If the aircraft had turned out to be CPDLC capable; I felt I would need to reread the bulletin step by step in the cockpit to follow the procedure correctly. A normal Crew change during a turn obviously does NOT have this time available. I am concerned that Crews will make errors and delay flights.,
1308029,manuals,After inspecting the dangerous goods container; my First Officer informed me that class 8 (corrosive) had been loaded on top of class 9 (dry ice). We referenced the flight operations manual and asked the DG (Dangerous Goods) agent if this was appropriate. She said it was; but since the FOM did not address this specifically; I called the Duty Officer who informed me that he would place a call to the DG department. A few minutes later; he said that the hazardous material as loaded; was good. Then we blocked out on our flight. Confusion existed as to whether the DG can was loaded properly; since our FOM did not specifically address these two different types of classes on top of one another. Updating the FOM to include this type of loading for these two particular hazardous materials on board.,
1309489,manuals,DG (Dangerous Goods) aid states no 6.1 toxic/poisons may be loaded on a pallet in position 1L if food aboard. Operations Manual states that 6.1 toxic/poisons may not be loaded on pallet in position 1 L if adjacent to crew meals/food. DG manual presented by DG agent stated that revision to DG manual allowed 6.1 on pallet adjacent to for foodstuffs. Supervisory pilot conferred with DG specialist and left message stating it was ok and that our crew manuals had not been updated to reflect the change. We flew with the 6.1 toxic/poisons in position 1L on a pallet with food aboard based on the duty officer's ok; though it was in violation of our current crew manuals.,
1310911,manuals,We were vectored around the RNAV arrival. While on downwind on the arrival we were assigned 2 speed restrictions. The last one was for 190 knots. We were turned onto base. We were then turned to intercept the localizer. We maintained 190 knots until given our approach clearance which did not include a speed restriction. According to JO 7110.65W Section 7 Speed Adjustment 5-7-1c which states; 'At the time approach clearance is issued; previously issued speed adjustments must be restated if required.' AIM 4-4-12 g says;' Approach clearances supersede any prior speed adjustment assignments; and pilots are expected to make their own speed adjustments as necessary to complete the approach. However; under certain circumstances; it may be necessary for ATC to issue further speed adjustments after approach clearance is issued to maintain separation between successive arrivals. Under such circumstances; previously issued speed adjustments will be restated if that speed is to be maintained or additional speed adjustments are requested. Speed adjustments should not be assigned inside the final approach fix on final or a point 5 miles from the runway; whichever is closer to the runway.'Since we were not assigned a speed restriction with the approach clearance; we began to slow as we felt was appropriate and safe for the conditions. The Monitor controller asked us a few miles from the final approach fix 'what is your speed?' We stated that it was 145 (approximately) and slowing. He then said; 'We can't have you going that slow there. You have to keep your speed up.' The first officer; with my direction; told him we were not assigned a speed restriction with our approach clearance. There was a pause and then the controller came back and said; 'I asked the other guy and he said he assigned you 190.' We said that we were not assigned speed on approach clearance and did not read it back with a speed restriction. My concern here is that the controllers in Atlanta think that the speed restriction they give us on downwind assumes that we will maintain that speed until the final approach fix. If we missed the controller; who gave us the clearance for an approach speed restriction; stating a speed restriction; we would hope he would restate the speed restriction. We then sped back up until the final approach fix. Considering the weather conditions and shooting a PRM approach with close in traffic; it would seem that keeping speed up is counterintuitive to safety.I believe this is non-compliance by the Air traffic controller in the Atlanta ATC. The Atlanta controller need to be aware of the fact that the speed restriction needs to be restated with the approach clearance.,When on the RNAV arrival we were given speed of 190 knots. On base we were given a turn to intercept final and I thought we were told to maintain 5000 feet until established on the ILS course and that is what I responded with in the radio transmission back to approach. We intercepted final and were closely monitoring abeam traffic on the South runways approach. We selected FMS speed and the aircraft slowed to FMS target speed profile. Slowing through approximately 145 knots a different tower controller voice contacted us (I assumed on the monitor frequency) and asked our indicated airspeed. I told him we were at 141 knots and slowing to 136 knots final approach speed. He came back with 'Well we can't have you at that speed.' and told us to speed back up. I can't remember if he gave us a new speed or not. He then asked why we had slowed so early from 190 knots and I told him we were not given that restriction to which he responded that we were. I had not heard that and did not respond to approach with a speed restriction on the dogleg turn readback. The captain sped up to about 160 knots before we reached the Final Approach Fix. I was somewhat surprised that during PRM approaches through weather on final they expected any aircraft to fly 190 knots to the Final Approach Fix. Miscommunication with ATC. Possible assumption of compliance with routine procedures at an airport we are unfamiliar with. Clear and concise from ATC in directing the restriction and responding if the readback is not IAW his/her instruction. ATC needs to treat PRM approaches with more concern and realize these are increased risk maneuvers.
1323654,manuals,During the Preflight inspection of our aircraft (CRJ200) I found the last rows (13AB and 12CD) broken; as I thought. As I found them; both rows were leaning forward. In 13AB the seat backs down and touching the seat cushions while in 12CD the seat backs were at a 30 to 40 degree forward angle. Maintenance (MX) was called and after arriving they reported that the seats operated as they should be. In other words; the seat backs being folded onto the seat cushions was normal and okay. I objected; saying that that was absolutely incorrect. I then explained how these seat backs; being (down and floppy as they were) would easily impede or prohibit passengers in the window seats from exiting the aircraft in an emergency or even normal operations. We do not allow bags to be strapped into the aisle as to prohibit/impede the egress of passengers so why should a seat back be any different? MX responded that the seats are meant to fold down to allow access to the emergency equipment. I had never heard this; never seen this; so I consulted my operations manual (IOM) and found no such information. Furthermore; I searched the IOM for anything involving seat backs which; of course; the only thing that was relevant was the preflight inspection of the rows immediately in front of and behind the exit row. There was nothing to indicate that I was supposed to move these seat backs in order to access emergency equipment (the water fire extinguisher and PBE). I called my Chief Flight Attendant; for clarification and guidance. Her instruction was to go with whatever Maintenance and the Pilot in Command (PIC) said. I received no clarification as to why these seat backs can flop around and that is somehow okay. This is profoundly questionable when other scenarios are in place; for example car seats and CARES restraints may not operate as they are designed in a row that is supposedly designed as such. Passenger egress is another area of concern in the form passengers with special needs (blind; deaf; infant; unaccompanied minor and paralyzed briefings for those rows). My access to emergency equipment has never included the operation of a seat back prior to accessing equipment. This is highly suspicious and I am also concerned I may have violated 14 CFR 121.311 e. While the seat backs were moved to the upright position for passenger boarding they were not locked or secured as to what I imagine they should be. In light of my uncertainty and having received no clarification on the matter I have decided it best to submit this ASAP.Seat backs in rows 12 and 13 not secured to the upright position. No procedures; information; or education regarding these seat backs and how they are supposedly meant to allow access to emergency equipment.Clarification in our manuals as to the design and operation of the seat backs in rows 12 and 13 on their CRJ200. Procedures for individual briefings and review of devices (i.e. CARES) which may not be designed to be accommodated in these rows. Clarification of the intended means of accessing the emergency equipment underneath rows 12 and 13 (water fire extinguisher and PBE).,
