,y_true,event_summary,explanation,pred
1891270,ambiguous,The aircraft was attempting to land on runway 29 when the RALT 2 (Rate of Turn Angle Limit) system failed momentarily. This failure triggered an EICAS caution message. Maintenance staff subsequently recorded the issue in their maintenance logbook as a potential 5G interference problem.,"The category Software and Automation was chosen because the report states the failure was caused by 'EICAS message popped up,' which indicates a glitch with the aircraft's internal computer systems observing the function rather than a physical mechanical breakdown.",softwareandautomation
2243324,equipment/tooling,"The ground crew prepared to push an aircraft from the gate. However, the tow bar detached mid-push, causing the airplane to roll away from the tug. The ground unit then pushed back to assess the situation and determine how the connection failed.","The primary issue was a failure of the physical ground support equipment. The incident report explicitly states that the 'tow bar' disconnected itself, identifying the ground-based towing mechanism (Equipment/Tooling) as the failing component rather than the airplane.",equipment/tooling
1843009,mel,"A flight crew removed two forward life rafts for overhaul, leaving the third one in use. Due to the aircraft's remote location, the crew acted as the Maintenance Director designee to perform the physical work without a direct maintenance liaison. The main issue arose because the correct MEL placards were not attached to the empty life raft cabinets before the aircraft flew.","The core issue was a failure in the paperwork and administrative process regarding Minimum Equipment List items, specifically the lack of proper mandatory placarding on the aircraft.",mel
2063535,softwareandautomation,"An employee scanned a package of restricted dangerous goods and a second package as Important package. Upon scanning, the system did not alert or overwrite the restrictions as usual. The employee later suspected the issue was a technical failure rather than a scanning error.","The report explicitly states, 'I think it could possibly be an IT problem,' which directly corresponds to the limitation of scanning equipment causing the failure to generate an expected warning.",atcequipment/navfacility/buildings
1915538,chartorpublication,"A pilot received a taxi clearance for Runway 24R via Tourway G but could not locate the taxiway because their chart failed to show G as part of the ramp section, leading to an aborted maneuver that nearly crossed onto the active runway.","The report explicitly states that the primary issue is the inaccuracy of the **Chart or Publication** and specifically requests a change to the diagram, making this the classification for the error.",chartorpublication
2089492,humanfactors,"An Air Traffic Controller issued a visual approach instruction to a VFR pilot, who initially read back conflicting information. During the interaction, the controller observed an aircraft flying directly over the departure end of the runway without permission. The pilot finally agreed to divert and land after the controller asked for confirmation, stopping the immediate danger.","The report explicitly blames the lack of ground-based surveillance (radar) for failing to identify the aircraft earlier. Furthermore, the reporter identifies basic staffing and resource inadequacies, specifically the lack of network connectivity for reporting and a suspended contract environment.",atcequipment/navfacility/buildings
2068934,procedure,"A captain refused to operate an aircraft due to an expired Residual Disinsection Certificate. The cabin was occupied, and the crew identified serious safety concerns regarding the toxicity of the Permethrin chemical treatment, which is allegedly prohibited in the U.S. A second captain was also approached for the same flight and declined. The airline resolved the issue by dispatching other aircraft that possessed current certificates instead.","The refusal of operation was driven by the risk to health due to the chemical being used, which falls under the Health and Safety standards of Company Policy.",companypolicy
2174283,companypolicy,"A pilot refused to dispatch aircraft X due to multiple mechanical grievances, including Flight Control Computer malfunctions, a broken galley, and missing indicators. The aircraft had maintenance writeups for engine monitoring and was assigned to two international flights with full passenger loads. The pilot prioritized safety over schedule, believing the aircraft was unfit for the journey.","The refusal was driven by the technical failures of the equipment itself, specifically the 'Flight Control Computer malfunction' and other 'maintenance issues'.",aircraft
1899878,airspacestructure,"A trainee controller issued a descent command that put an aircraft in violation of Minimum Vectoring Altitude (MVA). The Trainer missed the error initially and questioned the trainee, who admitted they had actually issued 6000 ft. instead of the required 7000 ft. allowing the aircraft to continue deeper past the altitude limit before being corrected.","The primary issue was not the radar hardware or the location of the airspace design, but rather the conflict in workload and training dynamic. The core problem was that the Trainer failed to scrutinize the Trainee's clearance, a lapse in supervision rather than a fault in the ATC equipment itself.",staffing
2201311,manuals,"The crew departed with a gel cell wheelchair battery on board after a Ground Operations agent permitted it. The Captain referenced the FOM, which only listed three standard battery types, causing confusion as the gel battery was not mentioned. The crew sought clarification from Dispatch and the Chief Pilot because the FOM did not explicitly address this specific battery type.","The confusion stemmed from the documentation provided to the crew not containing the updated information for the specific type of battery being transported, which is the central issue flagged by the Captain and Chief Pilot.",chartorpublication
1795003,airport,"A pilot reported severe difficulty in seeing the taxiway centerline markings on Taxiway K, A3, and A9 at ORD airport the following night. Due to the worn paint and surrounding darkness, navigation became particularly hazardous during night operations in rain.","The report identifies a specific physical hazard affecting navigation which falls under 'Airport' according to the 'Visual vs. Electronic' rule, as the ellipses are absent physical safety aids (runway markings) that the pilot sees outside the window.",airport
1817792,procedure,"While unloading bags, ground staff overloaded the front of the airplane. Despite not landing a tail stand, the nose strut extended fully, potentially unloading weight onto the tail wheel.","The decision to load bags to the front without using a tail stand bypassed a standard safety procedure, which is categorized as a Policy decision rather than a physical equipment failure.",companypolicy
2197281,airport,"At Charlotte Douglas International Airport (CLT), the taxiway C10 exit from Runway 36R poses a significant visual hazard at night. The report states that visual cues are poor due to the terrain sloping away from the runway, a lack of lead-off lights, and low contrast between the pavement and surroundings. As a result, pilots exiting the runway may struggle to identify the proper taxiway lines, potentially causing them to leave the prepared surface, especially in adverse weather conditions.","The incident is categorized under Airport because the root cause is attributed to the physical conditions of the airfield and lighting, specifically the absence of safety aids like 'lead-off lights' and poor surface contrast requested by the pilot for runway 36R exit Taxiway C10.",airport
2186192,aircraft,"During preflight, the crew accepted maintenance advice to continue flying despite technical warnings regarding the electronic engine control (EEC) and engine generator. After a delay, the flight began normally but proceeded through the engine start checklist when the cockpit screens went blank and the right engine lost power. Following an auto-restart check and towing the aircraft back to the gate, the crew remained uncomfortable with the aircraft's airworthiness and requested a replacement, leading to the cancellation of the flight.","The captain made the decision to take a non-standard aircraft for an ETOPS flight despite multiple warnings and a lack of technical understanding by maintenance control, which created ongoing distrust about the airframe's reliability.",companypolicy
1933985,softwareandautomation,A monthly mechanical check was conducted on an aircraft's WSI EFB. The mechanic wrote a discrepancy report stating that the weather radar system fails to depict thunderstorm tops on the '160-mile scale' and provides inaccurate data on the '40-mile scale.' The narrative links this issue to known software data corruption within the aircraft's memory.,"Although the report mentions a clogged filter, the core technical issue is defined as a software failure where the onboard electronics incorrectly process radar data, differing from a broken part.",softwareandautomation
2013295,atcequipment/navfacility/buildings,Controller Aircraft X on a 345 heading for an ILS approach. Requested a descent to 2000 ft. due to traffic separation. Instructed a turn to 260 degrees but received no response. Aircraft ended up at an unsafe altitude of 2800 ft. due to static on the radio frequency.,"The report identifies the primary issue as a physical breakdown of the radio equipment on the ground, specifically noting that 'the main and standbys were out' and that the 'frequency has been an ongoing issue for years.'",atcequipment/navfacility/buildings
2197603,softwareandautomation,"Two pilots flew an RNP approach into Ronald Reagan Washington National Airport but did not realize the flight computer for the approach did not load the correct altitudes. Consequently, the aircraft did not descend on its own, forcing the pilots to hand-fly the incorrect path around 500 feet high, resulting in an aborted landing. They attempted the same approach again and nearly landed 100 feet below the published altitude.","The primary issue was caused by the crew not properly monitoring the flight management computer (FMS) pages, leading to a mismatch between the lateral path of the arrival and the descent profile of the approach. The investigation revealed a specific known issue where the FMS box would not sync the altitudes for the RNP approach because the specific arrival does not connect to the approach path, a detail the flight crew missed.",softwareandautomation
2256996,environment-nonweatherrelated,"A flight crew experienced GPS receiver failures and suspected GPS spoofing in Turkish airspace. Although they verified their position accuracy for dispatch, they failed to realize their navigation specification requirements had degraded from RNP4 to RNP10. Consequently, the aircraft was not equipped to meet the flight plan's requirements and the crew did not advise Oceanic ATC of their reduced capability.",The core technical issue was the discrepancy between the flight plan item and the manual requirements during a GPS failure. This stems from the confusion regarding whether the flight was actually equipped for the higher precision path (RNP4) versus the higher tolerance path (RNP10) prescribed after the GPS inoperability.,ambiguous
1798850,staffing,"A controller detected a traffic conflict and evaded a collision between two aircraft, but the report identifies the root cause as staffing shortages and workload pressures due to reduced resources caused by COVID and airspace restructuring.","The incident was precipitated by 'too much volume' and 'no one on break' due to insufficient staffing combined with reduced resources, which highlights a structural inability to manage the workload safely.",staffing
1845075,incorrect/notinstalled/unavailablepart,"During a pre-flight walkaround, aircrew discovered an unusual configuration where a MAX aircraft leading edge had extra vortilons installed on an NG airframe rather than the standard equipment. While maintenance attempted to clear the aircraft, the lack of proper documentation regarding the airworthiness of this specific mixed configuration caused significant hesitation and confusion among flight and company leadership before the incident was resolved and the aircraft was returned to service.","The root cause stems from a breakdown in documentation and authorizing engineering processes, not a physical equipment failure, as the aircraft lacked authorized logbook notes explaining the unusual configuration. The report explicitly states the need for preventative maintenance info stickers in the logbook to mitigate this 'confusion over an unusual aircraft configuration'.",logbookentry
1831011,chartorpublication,"A pilot inadvertently programmed an incorrect waypoint, CI051, into the Flight Management System (FMS) for an approach at MMMX, which did not match any approach charts. Consequently, the correct waypoint, MX901, required for the approach was omitted from the FMS navigation database. This situation created a scenario where a pilot following the FMS blindly could violate a clearance, ","The core issue lies in the ground-based navigation database (CAP) which places wrong flight data into the onboard system without official warning; therefore, the mechanical/Digital database error falls under 'Software and Automation'.",softwareandautomation
1855399,equipment/tooling,"During maintenance, the operator attempted to jack the aircraft by the left main gear while seeking the correct tail height. Suddenly, the tail jack collapsed, causing the aircraft to pitch aggressively upward and interrupt the jacking process. The operator indicated fear for their safety and requested to move from underneath the wing.","The incident classifies as Equipment / Tooling because the failure was caused by a specific piece of ground support equipment, the tail jack, which physically broke during the operation.",equipment/tooling
1887878,logbookentry,"During a flight, the pilot experienced an alternator failure, leading to a temporary shortage of electrical power. While attempting a field repair outside of a certified mechanic at an intermediate airport, the pilot failed to gain proper credentials or documentation for the work. Eventually, the aircraft was returned to a certificated mechanic at the pilot's home base for the proper inspection and relocation of the failed component.","The specific situation arose from the pilot unwisely relying on a non-certificated individual to fix the alternator wiring, which led to a lack of proper certification and documentation. Because the core issue was the pilot's poor decision to accept repair work without verifying the individual's credentials or obtaining a logbook entry, Human Factors is the primary label.",humanfactors
1946055,mel,"Maintenance Control incorrectly entered an Electrical Fault in the MEL (Minimum Equipment List) for Aircraft X, which was then imported from ZZZ2 and allowed to fly. The subsequent review by a returning crew in ZZZ1 revealed the error, but the outbound crew had already departed deeming the item dispatchable according to that faulty MEL.","The Aircraft departed due to an error in the legal document controlling what is allowed to fly, indicating an issue with the MEL rather than a mechanical failure of the aircraft.",mel
2019223,airspacestructure,"VFR aircraft X climbed directly into the landing path of two IFR aircraft. The VFR aircraft passed between the other planes at low altitude, creating a potential mid-air collision with both Aircraft Y and Aircraft Z. The approach controller failed to alert the VFR aircraft to the traffic, and the VFR pilot did not identify nor maneuver to avoid the fast approaching traffic.","The controller failed to provide standard traffic advisories, and the VFR pilot lacked situational awareness and failed to identify traffic despite being in the approach sector's airspace, which classifies as a fundamental Human Factors issue.",humanfactors
2121158,equipment/tooling,"The aircraft arrived with a broken ELAC 1 system that was entered into the Minimum Equipment List (MEL). While performing preflight duties, the crew noticed the fault ECAM message and questioned the status of the system. They contacted maintenance control to clarify the situation, but were incorrectly informed that the system was fully deactivated. Later, the aircraft landed when it should not have been fully deactivated because of improper maintenance procedures.","The root cause was determined to be improperly pulled circuit breakers and collars, indicating an incorrect configuration of the aircraft due to a misunderstanding of procedures.",mel
2137597,weather,"The crew experienced severe turbulence and lost radio communication approximately 100 miles from the destination. While flying through weather, the aircraft exceeded speed and altitude limits before returning communications and diverting to an alternate airport due to no suitable conditions at the original destination.","The incident describes direct meteorological impacts such as severe turbulence, which arose from a buffer radius restriction for thunderstorms and rapid weather development that radar failed to detect.",weather
1780531,staffing,"A pilot landed using IFR flight rules but was uncertain if they cancelled the flight plan in the air due to the lack of ATC control. The pilot experienced long hold times when attempting to contact SCT TRACON to cancel, leading to 45 minutes of voice communication delays.","This should be categorized as Staffing. The core issue was an inability to interact with ATC because there were not enough human controllers available to answer the phone, a direct result of management decisions regarding staffing levels.",staffing
2140916,companypolicy,"A pilot flew inbound to FSD airport while tired, mistakenly unaware that Runway 3 had been closed. The pilot cited fatigue and lack of information from air traffic control (ATC) as the main reasons for the error.","The report identifies 'fatigue' specifically, the pilot stating they 'were inbound...when tired,' which is the primary reason cited for the potential deviation.",humanfactors
1822465,softwareandautomation,"During a VFR flight, the pilot deviated from the published obstacle departure procedure while expecting to receive an automated route from ATC. Due to the complexity of the written clearance, the pilot did not fully acknowledge the obstacle departure, leading to a near-miss scenario with terrain.","While human error played a role, the root cause is attributed to the infrastructure and protocol failing to integrate seamlessly within modern glass cockpit systems and automation limitations.",airspacestructure
1855461,atcequipment/navfacility/buildings,"A resident in Ohio noticed that large stacks from a decommissioned power plant have had their warning lights removed, creating a hazardous flight path for pilots flying overhead. The eight hundred foot tall structures currently present no visual marker for aircraft awareness.","The primary issue is the lack of visual safety aids required to alert pilots to these physical ground structures, which directly falls under the Airport category.",airport
2087539,airport,"The pilot reported significant difficulties navigating the northwest taxiways at the airport due to problematic signage. The report specifically cited multiple taxiways, including A3, A2, A4, C1, C, and C2, as having labels that were missing or not standard.","The phrase 'nonstandard signage' directly relates to the physical state of the airfield. According to the 'Visual vs. Electronic' Rule, poor runway/taxiway signage is classified as an Airport issue since it involves external physical cues the pilot visually observes.",airport
1933193,atcequipment/navfacility/buildings,"ATC staff within sector 42 reported a persistent and deteriorating radio communication failure over an area west of GHM between 30,000 and 12,000 feet. Multiple aircraft were unable to make contact, which was confirmed by secondary calls from nearby traffic, yet the issue remained unresolved after months of reporting to management.","The report specifically describes the failure of the radio transmitter to send clear signals to pilots, with the controller noting that the equipment could no longer hear aircraft calling. This indicates a ground-based hardware failure rather than a software glitch or human error, fitting the definition of ATC Equipment / Nav Facility / Buildings.",atcequipment/navfacility/buildings
1820978,staffing,"Overworked dispatchers at desk X stopped issuing flight releases because the workload was too high. They faced complex situations like multiple holding patterns, reroutes, and an urgent maximum takeoff weight (MTOW) issue. The controllers and crew were also strained, making it difficult to manage the increased number of flights.",The dispatchers explicitly state the workload was 'unmanageable' and warn they must stop work to avoid 'losing operational control.' This indicates the pressure came from having 'too many flights' on a 'single desk' given the surrounding constraints.,staffing
2072998,weather,"During a training flight, the aircraft encountered severe turbulence while climbing through FL350. The severe oscillations caused the aircraft to roll right and then abruptly roll left, triggering the stick shaker and autopilot disconnection. The pilots managed to recover, safely land, and completed the flight after a brief overnight inspection.","While the crew's manuals provided procedures for turbulence, the physical meteorological conditions generated forces greater than the aircraft's capability to counteract, causing the physical flight path deviation.",weather
1877455,environment-nonweatherrelated,"A Boeing 737 reported contaminated runways but proceeded with a landing under reduced braking conditions. At touchdown, the pilot detected a heavy wake turbulence from a preceding B757, which pushed the aircraft to the right. Shortly after contact, the RHOR system erroneously alerted for a long landing during a touchdown identified as 'extremely soft'.","Although the landing was long due to environment and pilot decision, the RCAS system can be considered compromised because it signaled incorrectly—triggering an alert for a landing described as 'extremely soft'—which points to a software or automation fault versus the weather or pilot error.",softwareandautomation
1844831,humanfactors,"The flight was cleared to cross a waypoint at Flight Level 300. The pilot set the altitude window to 30,000 feet and verified the settings were engaged. The aircraft continued at the wrong altitude instead of descending and missed the target by 1,140 feet.","The pilot admits directly to losing situational awareness and attention due to non-aviation distractions, such as worries about mandated vaccines. Although ATC issued a clearance (Procedure), the deliberate deviation happened due to the pilot's own lack of focus (Human Factors).",humanfactors
1937865,ambiguous,"An aircraft was hit with a Gear Warning System (GPWS) SINK RATE and PULL UP alarm while attempting to land at an airport surrounded by high terrain. The crew attributed the activation to staying high on the approach and surrounded by high terrain, but continued with a VMC landing. In hindsight, the crew believed they should have performed a go-around to follow company procedures.","The GPWS alarm was triggered by the steep descent associated with the high approach (2500 AGL) and the surrounding terrain, making the proximity to the ground the primary mechanical issue. Therefore, the primary problem is attributed to the Aircraft components responding to the flight path.",aircraft
1872188,equipment/tooling,"A helicopter performed a low-level approach and landing on Runway XX. During the approach, the pilot failed to visually acquire a Saratoga aircraft that had been holding on the runway due to tunnel vision. Additionally, the aircraft did not make radio calls to announce its position. The aircraft landed safely but reported the near-miss to ATC.","This incident is categorized as Human Factors because the primary failure to notice the other aircraft was due to situational awareness issues, specifically a focus on the landing task rather than scanning the environment. The specific issues were fixating on the run-on landing, overlooking the runway threshold during the initial scan, and a lack of situation awareness regarding the other aircraft's presence, which signifies a cognitive lapse rather than equipment failure.",humanfactors
2091195,companypolicy,"A Medevac aircraft was turned away from an approach at LRU because GPS jamming was affecting the airport; the controller requested the jamming be stopped to avoid an accident but had to negotiate multiple extensions with the OMIC, holding up the flight for other traffic before the medical flight could divert safely.","The text explicitly states that the communication back-and-forth between the controller and OMIC 'did not follow the GPS Jamming procedure in the SOP', making the 'procedure' the root cause of the incident.",procedure
1885495,procedure,"During a descent into ZZZ, the aircraft made dull thud noises likely caused by unsecured cargo containers shifting within the forward compartment. Although no damage was found, the flight crew failed to enter the suspected load shift into the aircraft logbook after landing.","The investigation focused specifically on a failure in documentation and the pilot's internal responsibility, rather than a technical failure or flight procedure.",logbookentry
2248965,weather,"During landing at ZZZ, the pilot experienced extreme crosswind conditions. The wind forced the aircraft to pivot nearly 90 degrees, perpendicular to the runway alignment. Attempting to correct this difficult situation resulted in the main landing gear collapsing.",The description clearly identifies a direct meteorological impact causing the malfunction.,weather
1944332,incorrect/notinstalled/unavailablepart,"Following routine maintenance and inspection, an aircraft returned to service with the tail rotor gearbox cover bolts unintentionally left installed. After a delay due to communication issues mid-flight, the aircraft landed without other major problems. Later, the missing bolt was discovered by a coworker, prompting a safety submission regarding the mechanic's work quality.","The primary failure was that the proper hardware was not detected during the daily inspection due to human visual limitations, which fits the universal category for human limitations in extracting information.",humanfactors
2228451,manuals,"A passenger arrived with a lithium-ion battery claiming it was within the 300-watt-hour (wh) limit for onboard mobility devices, but the charger lacked clear documentation to prove the wattage. The agent tried to find rules but reported no clear reference to the 300-wh limit, causing uncertainty about whether the battery was safe to bring aboard.","The primary problem was a lack of clarity or reference in the company policies regarding the maximum wattage limits for lithium-ion batteries in aviation, which led to the uncertainty described in the report.",companypolicy
2139846,aircraft,"The aircraft reported low fuel pressure in the center tank during the initial climb. The center tank fuel pressure failure caused an imbalance that led to a rapid decrease in fuel levels across multiple tanks. After priority handling was requested, the crew decided to return to their departure airport to execute an overweight landing.","The incident report identifies a specific, physical failure of the fuel system components, specifically the low fuel pressure light in the center tank, which caused the fuel imbalance. This is best classified as an Aircraft problem because it involves an onboard system malfunction (fuel) that dictates the flight path.",aircraft
2131976,incorrect/notinstalled/unavailablepart,"Night-shift technicians failed to install a seatbelt fitting during repairs, resulting from a series of missed parts and overtime work. The crew experienced staffing and fatigue issues due to a lack of work relief, causing them to proceed with a partially assembled seat.","The incidents stem from a breakdown in maintenance operations where parts were not properly stocked or tracked, and the workforce was insufficient to complete the task safely on time.",logbookentry
1850199,atcequipment/navfacility/buildings,"An aircraft loaded with passengers was on a precision approach to Chicago O'Hare when a glideslope warning alerted the crew to a vertical deviation at a low altitude. Despite the warning, the crew decided to continue the approach to landing because the runway was in sight and the situation appeared stable. Following the landing, the pilots requested that a Precision Approach Path Indicator be installed on Runway 10R to increase safety margin.","The pilots specifically requested the installation of a PAPI light, indicating that the lack of this physical visual aid outside the aircraft was the primary cause of the missed glide slope approach. The request highlights that without a PAPI, the pilots had to rely on less adequate outside resources during a complex visual maneuver, compromising the safety margin.",airport
1904108,aircraft,"During takeoff, the aircraft's Master Caution light and stick shaker activated without external wind factors. The airspeed indicators and Pitch Level Indication failed, giving false stall and overspeed warnings, while engine indications showed a spurious Slat Disagreement. Although the crew managed to recover, the aircraft was known to have a recurring low-speed stability issue that maintenance had previously grounded it for.",The primary problem is Aircraft because the systemic recurring failed components (Stick Shaker/Airspeed/PLI mismatch) are specific failures of the airframe systems rather than a generic maintenance error or a pilot mistake.,aircraft
1936364,ambiguous,"During a routine instrument cross-country training flight, the aircraft veered off the left side of the taxiway due to left quartering tailwinds and a sudden gust. The student pilot reacted to the deflection, causing a loss of directional control and a skid that resulted in an excursion from the paved surface before the flight crew brought the airplane to a stop.","The incident was primarily caused by the environmental weather conditions, specifically the launch of a gusty weather pattern (280@18G25) that created uncommanded forces on the aircraft while taxing.",weather
1869925,environment-nonweatherrelated,"During departure, the crew experienced an 'UNABLE RNP' message on the aircraft's warning system. They believed the issue was caused by 5G interference, citing a warning from air traffic control and safety concerns with airport automation.","The report states the crew believes the aircraft electronics are 'related to 5G', which points to the computer systems on the plane responding to outside interference rather than broken internal machinery.",aircraft
1878772,manuals,A flight crew reported low brake accumulator pressure on a Boeing 737 MAX. Maintenance discovered that the previous crew's flight manual shutdown procedure failed to include the required ten-second interval between shutting off electric hydraulic pumps. This disagreement between operator procedures and manuals resulted in a hydraulic system failure on the ground.,"The conflict between the actual physical procedures used by the pilots and the requirements found in the written Maintenance Manual fits the definitions of Manuals and Procedure, but the 'shutdown flow' constitutes the official operating method, making it the primary systematic error.",procedures
